id_str,user_id_str,created_at,screen_name,location,hashtag
1717179428671820217,1121466332669775878,Wed Oct 25 14:00:54 +0000 2023,ChinaEmbajadaRD,National District,FranjaylaRuta
1717179428671820217,1121466332669775878,Wed Oct 25 14:00:54 +0000 2023,ChinaEmbajadaRD,National District,ForodelaFranjaylaRuta
1717179428671820217,1121466332669775878,Wed Oct 25 14:00:54 +0000 2023,ChinaEmbajadaRD,National District,ChinaenRD
1716817014571012295,1121466332669775878,Tue Oct 24 14:00:47 +0000 2023,ChinaEmbajadaRD,National District,sobrechina
1716817014571012295,1121466332669775878,Tue Oct 24 14:00:47 +0000 2023,ChinaEmbajadaRD,National District,FranjayRuta
1716454619109343438,1121466332669775878,Mon Oct 23 14:00:46 +0000 2023,ChinaEmbajadaRD,National District,China
1716454619109343438,1121466332669775878,Mon Oct 23 14:00:46 +0000 2023,ChinaEmbajadaRD,National District,FranjaylaRuta
1716454619109343438,1121466332669775878,Mon Oct 23 14:00:46 +0000 2023,ChinaEmbajadaRD,National District,XiJinping
1716454619109343438,1121466332669775878,Mon Oct 23 14:00:46 +0000 2023,ChinaEmbajadaRD,National District,ForodelaFranjaylaRuta
1716454619109343438,1121466332669775878,Mon Oct 23 14:00:46 +0000 2023,ChinaEmbajadaRD,National District,ChinaenRD
1715367977489432658,1121466332669775878,Fri Oct 20 14:02:50 +0000 2023,ChinaEmbajadaRD,National District,chino
1715367977489432658,1121466332669775878,Fri Oct 20 14:02:50 +0000 2023,ChinaEmbajadaRD,National District,ForodelaFranjaylaRuta
1715367977489432658,1121466332669775878,Fri Oct 20 14:02:50 +0000 2023,ChinaEmbajadaRD,National District,China
1715367977489432658,1121466332669775878,Fri Oct 20 14:02:50 +0000 2023,ChinaEmbajadaRD,National District,FranjaylaRuta
1715367977489432658,1121466332669775878,Fri Oct 20 14:02:50 +0000 2023,ChinaEmbajadaRD,National District,ChinaenRD
1715095674025296361,1121466332669775878,Thu Oct 19 20:00:48 +0000 2023,ChinaEmbajadaRD,National District,China
1715095674025296361,1121466332669775878,Thu Oct 19 20:00:48 +0000 2023,ChinaEmbajadaRD,National District,FranjayRuta
1715005903148065179,1121466332669775878,Thu Oct 19 14:04:05 +0000 2023,ChinaEmbajadaRD,National District,ForodelaFranjaylaRuta
1715005903148065179,1121466332669775878,Thu Oct 19 14:04:05 +0000 2023,ChinaEmbajadaRD,National District,FranjaylaRuta
1715005903148065179,1121466332669775878,Thu Oct 19 14:04:05 +0000 2023,ChinaEmbajadaRD,National District,China
1715005903148065179,1121466332669775878,Thu Oct 19 14:04:05 +0000 2023,ChinaEmbajadaRD,National District,XiJinping
1714793928191283619,1121466332669775878,Thu Oct 19 00:01:46 +0000 2023,ChinaEmbajadaRD,National District,ForodelaFranjaylaRuta
1714793928191283619,1121466332669775878,Thu Oct 19 00:01:46 +0000 2023,ChinaEmbajadaRD,National District,China
1714793928191283619,1121466332669775878,Thu Oct 19 00:01:46 +0000 2023,ChinaEmbajadaRD,National District,ChinaenRD
1723155501981339984,1407270938811326464,Sat Nov 11 01:47:41 +0000 2023,PatrickZhengCHN,Beijing,CIIE
1718214715225280994,1407270938811326464,Sat Oct 28 10:34:45 +0000 2023,PatrickZhengCHN,Beijing,PatrickInXizang
1603390598395953152,141627220,Thu Dec 15 14:04:42 +0000 2022,zlj517,"Beijing, China",China
1603390598395953152,141627220,Thu Dec 15 14:04:42 +0000 2022,zlj517,"Beijing, China",Chile
1602653107422232576,141627220,Tue Dec 13 13:14:11 +0000 2022,zlj517,"Beijing, China",هواوي
1602290758027202561,141627220,Mon Dec 12 13:14:20 +0000 2022,zlj517,"Beijing, China",China
1602290758027202561,141627220,Mon Dec 12 13:14:20 +0000 2022,zlj517,"Beijing, China",Arab
1602290739404484613,141627220,Mon Dec 12 13:14:16 +0000 2022,zlj517,"Beijing, China",HumanRightsDay
1714630281972342927,2194292039,Wed Oct 18 13:11:30 +0000 2023,gabriekestabem,"São Paulo,Brasil Pequim, China",BeltandRoadForum
1699396155778416779,2194292039,Wed Sep 06 12:16:31 +0000 2023,gabriekestabem,"São Paulo,Brasil Pequim, China",China
1695251369651745265,2194292039,Sat Aug 26 01:46:37 +0000 2023,gabriekestabem,"São Paulo,Brasil Pequim, China",DigitalEconomy
1695251369651745265,2194292039,Sat Aug 26 01:46:37 +0000 2023,gabriekestabem,"São Paulo,Brasil Pequim, China",Brazil
1678370529709903875,2194292039,Mon Jul 10 11:48:11 +0000 2023,gabriekestabem,"São Paulo,Brasil Pequim, China",China
1677284548713824259,2194292039,Fri Jul 07 11:52:53 +0000 2023,gabriekestabem,"São Paulo,Brasil Pequim, China",dólar
1677284548713824259,2194292039,Fri Jul 07 11:52:53 +0000 2023,gabriekestabem,"São Paulo,Brasil Pequim, China",BRICS
1674241213703106563,2194292039,Thu Jun 29 02:19:45 +0000 2023,gabriekestabem,"São Paulo,Brasil Pequim, China",China
1674241213703106563,2194292039,Thu Jun 29 02:19:45 +0000 2023,gabriekestabem,"São Paulo,Brasil Pequim, China",AméricaLatina
1674241213703106563,2194292039,Thu Jun 29 02:19:45 +0000 2023,gabriekestabem,"São Paulo,Brasil Pequim, China",Kwai
1673308671625789441,2194292039,Mon Jun 26 12:34:10 +0000 2023,gabriekestabem,"São Paulo,Brasil Pequim, China",EUA
1668602222228152320,2194292039,Tue Jun 13 12:52:25 +0000 2023,gabriekestabem,"São Paulo,Brasil Pequim, China",LigaÁrabe
1668602222228152320,2194292039,Tue Jun 13 12:52:25 +0000 2023,gabriekestabem,"São Paulo,Brasil Pequim, China",Xinjiang
1664249207618781185,2194292039,Thu Jun 01 12:35:06 +0000 2023,gabriekestabem,"São Paulo,Brasil Pequim, China",Shenzhou
1661880195484090368,2194292039,Thu May 25 23:41:29 +0000 2023,gabriekestabem,"São Paulo,Brasil Pequim, China",AfricaDay
1659016600664563712,2194292039,Thu May 18 02:02:35 +0000 2023,gabriekestabem,"São Paulo,Brasil Pequim, China",Zhejiang
1717998155763949842,705422161297723393,Fri Oct 27 20:14:13 +0000 2023,CGTNDCproducers,"Washington, DC",Lewiston
1717998155763949842,705422161297723393,Fri Oct 27 20:14:13 +0000 2023,CGTNDCproducers,"Washington, DC",Maine
1567965430953689090,705422161297723393,Thu Sep 08 19:57:44 +0000 2022,CGTNDCproducers,"Washington, DC",QueenElizabeth
1521907894286966784,705422161297723393,Wed May 04 17:41:32 +0000 2022,CGTNDCproducers,"Washington, DC",cgtnamerica
1443688930243710976,705422161297723393,Thu Sep 30 21:27:18 +0000 2021,CGTNDCproducers,"Washington, DC",Afghanistan
1441081377747873793,705422161297723393,Thu Sep 23 16:45:49 +0000 2021,CGTNDCproducers,"Washington, DC",NYC
1441081377747873793,705422161297723393,Thu Sep 23 16:45:49 +0000 2021,CGTNDCproducers,"Washington, DC",UNGA
1441081377747873793,705422161297723393,Thu Sep 23 16:45:49 +0000 2021,CGTNDCproducers,"Washington, DC",AmericasNow
1439273540558151685,705422161297723393,Sat Sep 18 17:02:07 +0000 2021,CGTNDCproducers,"Washington, DC",Jan6
1439273540558151685,705422161297723393,Sat Sep 18 17:02:07 +0000 2021,CGTNDCproducers,"Washington, DC",Capitol
1420475425877266440,705422161297723393,Wed Jul 28 20:05:07 +0000 2021,CGTNDCproducers,"Washington, DC",AmericasNow
1411374923470323721,705422161297723393,Sat Jul 03 17:22:58 +0000 2021,CGTNDCproducers,"Washington, DC",Tokyo
1725831400639914137,3910925474,Sat Nov 18 11:00:44 +0000 2023,ShanghaiEye,,Fuxing
1725831400639914137,3910925474,Sat Nov 18 11:00:44 +0000 2023,ShanghaiEye,,Railway
1725830792990048522,3910925474,Sat Nov 18 10:58:20 +0000 2023,ShanghaiEye,,giantpanda
1725830792990048522,3910925474,Sat Nov 18 10:58:20 +0000 2023,ShanghaiEye,,Germany
1725829628634521670,3910925474,Sat Nov 18 10:53:42 +0000 2023,ShanghaiEye,,YuzuruHanyu
1725829628634521670,3910925474,Sat Nov 18 10:53:42 +0000 2023,ShanghaiEye,,divorce
1725829628634521670,3910925474,Sat Nov 18 10:53:42 +0000 2023,ShanghaiEye,,羽生結弦離婚
1725829221006885057,3910925474,Sat Nov 18 10:52:05 +0000 2023,ShanghaiEye,,Mexico
1725805434890838099,3910925474,Sat Nov 18 09:17:34 +0000 2023,ShanghaiEye,,Dali
1725804433223897294,3910925474,Sat Nov 18 09:13:35 +0000 2023,ShanghaiEye,,China
1725804433223897294,3910925474,Sat Nov 18 09:13:35 +0000 2023,ShanghaiEye,,UnitedStates
1725803569843142827,3910925474,Sat Nov 18 09:10:09 +0000 2023,ShanghaiEye,,APEC
1725716280408428930,3910925474,Sat Nov 18 03:23:18 +0000 2023,ShanghaiEye,,Alibaba
1725681225313193996,3910925474,Sat Nov 18 01:04:00 +0000 2023,ShanghaiEye,,VisaFree
1725681225313193996,3910925474,Sat Nov 18 01:04:00 +0000 2023,ShanghaiEye,,Norway
1725427786171736400,1169580955524194305,Fri Nov 17 08:16:55 +0000 2023,huang_jiyuan,China,CGTNOpinion
1725394506248560702,1169580955524194305,Fri Nov 17 06:04:41 +0000 2023,huang_jiyuan,China,China
1725394506248560702,1169580955524194305,Fri Nov 17 06:04:41 +0000 2023,huang_jiyuan,China,SanFrancisco
1724796583735443784,1169580955524194305,Wed Nov 15 14:28:45 +0000 2023,huang_jiyuan,China,CGTNFirstVoice
1724796583735443784,1169580955524194305,Wed Nov 15 14:28:45 +0000 2023,huang_jiyuan,China,CGTNOpinion
1724702190349287614,1169580955524194305,Wed Nov 15 08:13:40 +0000 2023,huang_jiyuan,China,China
1717720826542530626,1169580955524194305,Fri Oct 27 01:52:13 +0000 2023,huang_jiyuan,China,China
1716386332875112509,1169580955524194305,Mon Oct 23 09:29:25 +0000 2023,huang_jiyuan,China,CGTNOpinion
1716386332875112509,1169580955524194305,Mon Oct 23 09:29:25 +0000 2023,huang_jiyuan,China,DecisionMakers
1715324505474932812,1169580955524194305,Fri Oct 20 11:10:05 +0000 2023,huang_jiyuan,China,RealityCheck
1714984632771621064,1169580955524194305,Thu Oct 19 12:39:33 +0000 2023,huang_jiyuan,China,BeltandRoadInitiative
1714792941242421367,1169580955524194305,Wed Oct 18 23:57:51 +0000 2023,huang_jiyuan,China,BeltandRoadInitiative
1714271412532465747,1169580955524194305,Tue Oct 17 13:25:29 +0000 2023,huang_jiyuan,China,Palestine
1714271412532465747,1169580955524194305,Tue Oct 17 13:25:29 +0000 2023,huang_jiyuan,China,Israel
1710245336604873125,1169580955524194305,Fri Oct 06 10:47:17 +0000 2023,huang_jiyuan,China,RealityCheck
1710150613970157896,1169580955524194305,Fri Oct 06 04:30:54 +0000 2023,huang_jiyuan,China,China
1714549001377177964,1230410541547560960,Wed Oct 18 07:48:31 +0000 2023,consulat_de,35 Rue Bautain 67000Strasbourg,BeltandRoadForum
1714547724844937344,1230410541547560960,Wed Oct 18 07:43:27 +0000 2023,consulat_de,35 Rue Bautain 67000Strasbourg,LaCeintureEtLaRoute
1712454500559020424,1230410541547560960,Thu Oct 12 13:05:43 +0000 2023,consulat_de,35 Rue Bautain 67000Strasbourg,ChinaCanvas
1708429045497749752,1142172626,Sun Oct 01 10:30:00 +0000 2023,ipandacom,,ChengduPandaBase
1708429045497749752,1142172626,Sun Oct 01 10:30:00 +0000 2023,ipandacom,,PandaPic
1708429045497749752,1142172626,Sun Oct 01 10:30:00 +0000 2023,ipandacom,,ChineseCulture
1708270500919771556,1142172626,Sun Oct 01 00:00:00 +0000 2023,ipandacom,,PandaPic
1708270500919771556,1142172626,Sun Oct 01 00:00:00 +0000 2023,ipandacom,,ChineseCulture
1708270500919771556,1142172626,Sun Oct 01 00:00:00 +0000 2023,ipandacom,,PandaCreators
1707545730653589599,1142172626,Fri Sep 29 00:00:01 +0000 2023,ipandacom,,PandaPic
1707545730653589599,1142172626,Fri Sep 29 00:00:01 +0000 2023,ipandacom,,ChineseCulture
1707545730653589599,1142172626,Fri Sep 29 00:00:01 +0000 2023,ipandacom,,PandaCreators
1707372084371059125,1142172626,Thu Sep 28 12:30:01 +0000 2023,ipandacom,,FriendshipMessenger
1707372084371059125,1142172626,Thu Sep 28 12:30:01 +0000 2023,ipandacom,,BestJobInTheWorld
1707372084371059125,1142172626,Thu Sep 28 12:30:01 +0000 2023,ipandacom,,PandaPic
1707372084371059125,1142172626,Thu Sep 28 12:30:01 +0000 2023,ipandacom,,FBLive
