is_blue_verified,created_at,description,favourites_count,followers_count,friends_count,listed_count,location,media_count,name,normal_followers_count,pinned_tweet_ids_str,possibly_sensitive,profile_banner_url,profile_image_url_https,screen_name,statuses_count,verified,want_retweets,withheld_in_countries,professional_type,smart_blocked_by,smart_blocking,has_hidden_likes_on_profile,has_hidden_subscriptions_on_profile,is_identity_verified,verified_since_msec,can_highlight_tweets,highlighted_tweets,creator_subscriptions_count,url_0_display,url_0_expanded,url_0_url
False,Wed Feb 05 09:31:23 +0000 2020,Official account of the Consulate-General of the PRC in Edinburgh,261,3366,167,66,"55 Corstorphine Rd, Edinburgh",318,Chinese Consulate General in Edinburgh,3366,[],False,https://pbs.twimg.com/profile_banners/1224988790302871552/1586112641,https://pbs.twimg.com/profile_images/1224993357430231041/ZSPIMdWU_normal.jpg,chinacgedi,864,False,False,[],Creator,False,False,False,False,False,,False,0,0,edinburgh.china-consulate.org/eng/,http://edinburgh.china-consulate.org/eng/,https://t.co/1kIEFnzTXh
False,Sun Mar 06 14:35:34 +0000 2016,"Global Times editorials, Oped articles, columns",1840,3289,553,51,Beijing,1822,GT Opinion,3289,['1418568922920488968'],False,,https://pbs.twimg.com/profile_images/706515107350650881/-Xqt-wEm_normal.jpg,GtOpinion,9452,False,False,[],,False,False,False,False,False,,False,0,0,globaltimes.cn/opinion/,http://www.globaltimes.cn/opinion/,https://t.co/oSEnRIEdYU
True,Mon Mar 15 18:36:34 +0000 2021,"Bienvenidos a la cuenta oficial de la Embajada de China en México/FB:EmbChinaMex 
Twitter del Embajador: @EmbZhangRun /tiktok:zhang_run/Facebook:Zhang Run 张润",5290,62555,401,104,AV.RIO MAGDALENA 172,1711,Embajada de China en México,62555,[],False,https://pbs.twimg.com/profile_banners/1371527927989477376/1674146015,https://pbs.twimg.com/profile_images/1600529183402332160/esxJYSDy_normal.jpg,EmbChinaMex,3533,False,False,[],Creator,False,False,False,False,False,1623792789937,True,0,0,mx.china-embassy.org,http://mx.china-embassy.org/,https://t.co/XRTdmwYqBw
False,Wed Jan 08 21:56:05 +0000 2020,إعلامية صينية Chinese journalist,3553,6566,396,25,Beijing,483,فيحاء وانغ شين Fayhaa Wang Xin,6566,['1693997920331382849'],False,https://pbs.twimg.com/profile_banners/1215029393577402369/1651415188,https://pbs.twimg.com/profile_images/1240041934355300354/VLVJG2IV_normal.jpg,fayhaaChina,2257,False,False,[],Creator,False,False,False,False,False,,False,0,0,facebook.com/fayhaaChina/,https://www.facebook.com/fayhaaChina/,https://t.co/7ZrNoFKbkE
False,Sat Feb 21 03:04:06 +0000 2015,"We are public media for the public good. We don't pursue corporate interests, nor will we yield to the pressure of ideological stigmatization and political bias",36,12585,1,2,"Yangon, Myanmar",38969,Xinhua Myanmar,12585,[],False,https://pbs.twimg.com/profile_banners/3033801332/1608087656,https://pbs.twimg.com/profile_images/1275497415747854336/Lv18V9wv_normal.jpg,XinhuaMyanmar,42903,False,False,[],Business,False,False,False,False,False,,False,0,0,XinhuaMyanmar.com,http://XinhuaMyanmar.com,https://t.co/1aAymgqlpD
True,Wed Aug 10 20:01:24 +0000 2011,"Working as a journalist & political commentator in China for 10yrs.
Research in geopolitics, BRI.
Have different opinions? Let's talk it out!
Has a show👇",7155,76379,1098,490,"Beijing, China",1059,Li Jingjing 李菁菁,76379,['1724606207447716161'],False,https://pbs.twimg.com/profile_banners/352561706/1597878854,https://pbs.twimg.com/profile_images/1591446630024171523/Jk9t_K5l_normal.jpg,Jingjing_Li,3130,False,False,[],Creator,False,False,False,False,False,1688954083583,True,8,0,youtube.com/c/JingjingLi_C…,http://www.youtube.com/c/JingjingLi_China,https://t.co/JJgL423jmx
False,Tue Mar 20 02:03:17 +0000 2018,"Diplomático chino, observador y colaborador de temas internacionales",21,2131,112,19,,18,Yao Fei,2131,[],False,,https://pbs.twimg.com/profile_images/1251257963915948033/AnUodwum_normal.jpg,YaoFei9,143,False,False,[],,False,False,False,False,False,,False,0,0,,,
False,Tue May 01 09:14:41 +0000 2018,"Global Watch takes you around the world at 0400 GMT everyday on CGTN @CGTNOfficial, bringing the latest top stories and getting to the heart of breaking news.",220,2951,313,73,,19505,CGTN Global Watch,2951,[],False,https://pbs.twimg.com/profile_banners/991244506623283200/1607905625,https://pbs.twimg.com/profile_images/1338279171861037056/zwjqZ4fN_normal.jpg,GlobalWatchCGTN,20730,False,False,[],,False,False,False,False,False,,False,0,0,facebook.com/GlobalWatchCGTN,https://www.facebook.com/GlobalWatchCGTN,https://t.co/U4qXO6oqVR
False,Wed Oct 16 02:51:30 +0000 2019,We tell you what people are watching in the world's 2nd biggest box office!,65,82,0,2,"Beijing, China",33,CGTN Movies,82,[],False,https://pbs.twimg.com/profile_banners/1184300771984068609/1571195048,https://pbs.twimg.com/profile_images/1184303979636781056/PTtTX9Hm_normal.jpg,CGTNMovies,234,False,False,[],,False,False,False,False,False,,False,0,0,cgtn.com/culture,https://www.cgtn.com/culture,https://t.co/MbFrmysdAi
True,Tue Jul 16 03:27:55 +0000 2013,"China News Service, 中國新聞社，簡稱“中新社”，是中國以對外報導為主要新聞業務的國家通訊社，是以台港澳同胞、海外華僑華人和與之有聯繫的外國人為主要服務對象的國際性通訊社。",162,502536,413,1005,,86064,中國新聞社,502536,[],False,https://pbs.twimg.com/profile_banners/1597435105/1676872496,https://pbs.twimg.com/profile_images/1622436993878872065/_xuLdaod_normal.jpg,CNS1952,89546,False,False,[],Business,False,False,False,False,False,1483570755903,True,2,0,chinanews.com,http://www.chinanews.com/,https://t.co/B9Hdd4zrLo
